2021-10-08 14:18:54.5711||INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2021-10-08 14:18:54.5711||INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2021-10-08 14:18:54.5930||INFO|Microsoft.Hosting.Lifetime|Content root path: D:\git\Kroger\STTechExcercise\STTechExcercise |url: |action: 
2021-10-08 14:19:26.9923||INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2021-10-08 14:19:26.9923||INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2021-10-08 14:19:27.0120||INFO|Microsoft.Hosting.Lifetime|Content root path: D:\git\Kroger\STTechExcercise\STTechExcercise |url: |action: 
2021-10-08 14:45:30.9828||INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2021-10-08 14:45:30.9960||INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2021-10-08 14:45:30.9960||INFO|Microsoft.Hosting.Lifetime|Content root path: D:\git\Kroger\STTechExcercise\STTechExcercise |url: |action: 
2021-10-08 14:46:54.0437||INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2021-10-08 14:46:54.0564||INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2021-10-08 14:46:54.0564||INFO|Microsoft.Hosting.Lifetime|Content root path: D:\git\Kroger\STTechExcercise\STTechExcercise |url: |action: 
2021-10-08 14:48:57.1143||INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2021-10-08 14:48:57.1278||INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2021-10-08 14:48:57.1345||INFO|Microsoft.Hosting.Lifetime|Content root path: D:\git\Kroger\STTechExcercise\STTechExcercise |url: |action: 
